"id","snippet_title","snippet_description","snippet_country","snippet_defaultLanguage","contentDetails_relatedPlaylists_likes","contentDetails_relatedPlaylists_favorites","contentDetails_relatedPlaylists_uploads","statistics_viewCount","statistics_subscriberCount","statistics_videoCount","topicDetails_topicsIds","topicDetails_topicCategories"
"UClgRkhTL3_hImCAmdLfDE4g","YouTube Movies","YouTube's movies destination featuring the latest new releases, blockbusters and more.",NA,NA,"","","UUlgRkhTL3_hImCAmdLfDE4g",0,1.34e+08,0,NA,NA
"UCOpNcN46UbXVtpKMrmU4Abg","Gaming","YouTube's gaming channel, featuring news, reviews, playthroughs, and more.
This channel was generated automatically by YouTube's video discovery system.",NA,NA,"","","UUOpNcN46UbXVtpKMrmU4Abg",0,88500000,0,"/m/0bzvm2","https://en.wikipedia.org/wiki/Video_game_culture"
"UCEgdi0XIXXZ-qJOFPf4JSKw","Sports","sport : an activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment",NA,NA,"","","UUEgdi0XIXXZ-qJOFPf4JSKw",0,74900000,0,"/m/06ntj","https://en.wikipedia.org/wiki/Sport"
"UCJplp5SjeGSdVdwsfb9Q7lQ","Like Nastya","Welcome to Nastya's universe - where Nastya and her parents play, learn, sing, explore and share their life experiences. 

Millions of kids and families from all over the world join Nastya every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.

Follow Like Nastya on Instagram - https://www.instagram.com/likenastya/
Follow Like Nastya on TikTok - https://www.tiktok.com/@likenastya

Copyright © 2019 Like Nastya, LLC. All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.  For permission requests, write to copyright holder/ author, addressed to info@likenastya.com","US",NA,"","","UUJplp5SjeGSdVdwsfb9Q7lQ",55397745353,72200000,560,"/m/03glg /m/019_rr /m/02jjt","https://en.wikipedia.org/wiki/Hobby https://en.wikipedia.org/wiki/Lifestyle_(sociology) https://en.wikipedia.org/wiki/Entertainment"
"UCS94J1s6-qc8v7btCdS2pNg","Like Nastya Show","","US",NA,"","","UUS94J1s6-qc8v7btCdS2pNg",16305977778,37200000,407,"/m/02jjt /m/019_rr /m/03glg","https://en.wikipedia.org/wiki/Entertainment https://en.wikipedia.org/wiki/Lifestyle_(sociology) https://en.wikipedia.org/wiki/Hobby"
"UCYfdidRxbB8Qhf0Nx7ioOYw","News","YouTube's news destination featuring comprehensive up-to-date coverage on the latest top stories, sports, business, entertainment, politics, and more.",NA,NA,"","","UUYfdidRxbB8Qhf0Nx7ioOYw",0,35400000,0,NA,NA
"UCF0pVplsI8R5kcAqgtoRqoA","Popular on YouTube","The pulse of what's popular on YouTube. Check out the latest music videos, trailers, comedy clips, and everything else that people are watching right now.",NA,NA,"","","UUF0pVplsI8R5kcAqgtoRqoA",0,29600000,0,NA,NA
"UCiGm_E4ZwYSHV3bcW1pnSeQ","Billie Eilish","","US",NA,"","","UUiGm_E4ZwYSHV3bcW1pnSeQ",8759056005,39500000,34,"/m/04rlf /m/05rwpb /m/064t9","https://en.wikipedia.org/wiki/Music https://en.wikipedia.org/wiki/Independent_music https://en.wikipedia.org/wiki/Pop_music"
"UC-lHJZR3Gqxm24_Vd_AJ5Yw","PewDiePie","I make videos.","US",NA,"","FL-lHJZR3Gqxm24_Vd_AJ5Yw","UU-lHJZR3Gqxm24_Vd_AJ5Yw",27055902545,1.09e+08,4299,"/m/0bzvm2 /m/025zzc /m/02ntfj /m/0403l3g","https://en.wikipedia.org/wiki/Video_game_culture https://en.wikipedia.org/wiki/Action_game https://en.wikipedia.org/wiki/Action-adventure_game https://en.wikipedia.org/wiki/Role-playing_video_game"
"UCFFbwnve3yF62-tVXkTyHqg","Zee Music Company","Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more than 3,818 movie titles from premiere studios featuring iconic film stars, ZEEL houses the world’s largest Hindi film library.

Zee Music Company
Facebook - https://www.facebook.com/zeemusiccompany
Twitter - https://twitter.com/ZeeMusicCompany","IN",NA,"","","UUFFbwnve3yF62-tVXkTyHqg",35665569479,70800000,5326,"/m/028sqc /m/04rlf","https://en.wikipedia.org/wiki/Music_of_Asia https://en.wikipedia.org/wiki/Music"
