"id","snippet_title","snippet_description","snippet_country","snippet_defaultLanguage","contentDetails_relatedPlaylists_likes","contentDetails_relatedPlaylists_favorites","contentDetails_relatedPlaylists_uploads","statistics_viewCount","statistics_subscriberCount","statistics_videoCount","topicDetails_topicsIds","topicDetails_topicCategories","youtube_playlist","Music","Action-adventure game","Gaming","Sports","Entertainment","TV shows","Music of Asia","Country","Movies","Hobby","Action game","Society","Hip hop music","Lifestyle","Music of Latin America","Electronic music","Soul music","Casual game","Pop music"
"UClgRkhTL3_hImCAmdLfDE4g","YouTube Movies","YouTube's movies destination featuring the latest new releases, blockbusters and more.",NA,NA,NA,"","UUlgRkhTL3_hImCAmdLfDE4g",0,1.34e+08,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC-9-kyTW8ZkZNDHQJ6FgpwQ","Music","Visit the YouTube Music Channel to find today’s top talent, featured artists, and playlists. Subscribe to see the latest in the music world.
This channel was generated automatically by YouTube's video discovery system.",NA,NA,NA,"","UU-9-kyTW8ZkZNDHQJ6FgpwQ",0,1.14e+08,0,"/m/04rlf","https://en.wikipedia.org/wiki/Music",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC-lHJZR3Gqxm24_Vd_AJ5Yw","PewDiePie","I make videos.","US",NA,NA,"FL-lHJZR3Gqxm24_Vd_AJ5Yw","UU-lHJZR3Gqxm24_Vd_AJ5Yw",27088447349,1.09e+08,4302,"/m/02ntfj /m/0403l3g /m/0bzvm2 /m/025zzc","https://en.wikipedia.org/wiki/Action-adventure_game https://en.wikipedia.org/wiki/Role-playing_video_game https://en.wikipedia.org/wiki/Video_game_culture https://en.wikipedia.org/wiki/Action_game",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCOpNcN46UbXVtpKMrmU4Abg","Gaming","YouTube's gaming channel, featuring news, reviews, playthroughs, and more.
This channel was generated automatically by YouTube's video discovery system.",NA,NA,NA,"","UUOpNcN46UbXVtpKMrmU4Abg",0,88500000,0,"/m/0bzvm2","https://en.wikipedia.org/wiki/Video_game_culture",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCEgdi0XIXXZ-qJOFPf4JSKw","Sports","Sport pertains to any form of competitive physical activity or game that aims to use, maintain or improve physical ability and skills while providing enjoyment to participants and, in some cases, entertainment to spectators. Sports can, through casual or organized participation, improve one's physical health. Hundreds of sports exist, from those between single contestants, through to those with hundreds of simultaneous participants, either in teams or competing as individuals. In certain sports such as racing, many contestants may compete, simultaneously or consecutively, with one winner; in others, the contest is between two sides, each attempting to exceed the other. Some sports allow a ""tie"" or ""draw"", in which there is no single winner; others provide tie-breaking methods to ensure one winner and one loser. A number of contests may be arranged in a tournament producing a champion. Many sports leagues make an annual champion by arranging games in a regular sports season, followed in some cases by playoffs.",NA,NA,NA,"","UUEgdi0XIXXZ-qJOFPf4JSKw",0,74900000,0,"/m/06ntj","https://en.wikipedia.org/wiki/Sport",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCJplp5SjeGSdVdwsfb9Q7lQ","Like Nastya","Welcome to Nastya's universe - where Nastya and her parents play, learn, sing, explore and share their life experiences. 

Millions of kids and families from all over the world join Nastya every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.

Follow Like Nastya on Instagram - https://www.instagram.com/likenastya/
Follow Like Nastya on TikTok - https://www.tiktok.com/@likenastya

Copyright © 2019 Like Nastya, LLC. All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.  For permission requests, write to copyright holder/ author, addressed to info@likenastya.com","US",NA,NA,"","UUJplp5SjeGSdVdwsfb9Q7lQ",55720544778,72500000,562,"/m/02jjt /m/03glg /m/019_rr","https://en.wikipedia.org/wiki/Entertainment https://en.wikipedia.org/wiki/Hobby https://en.wikipedia.org/wiki/Lifestyle_(sociology)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCFFbwnve3yF62-tVXkTyHqg","Zee Music Company","Zee Music Company is part of India's leading television media and entertainment companies. It is amongst the largest producers and aggregators of Hindi programming in the world, with an extensive library housing over 222,000 hours of television content along with a strong presence in over 171 countries and a total viewership of 1 Billion plus people around the globe. Our Library has rights to more than 3,818 movie titles from premiere studios featuring iconic film stars, ZEEL houses the world’s largest Hindi film library.

Zee Music Company
Facebook - https://www.facebook.com/zeemusiccompany
Twitter - https://twitter.com/ZeeMusicCompany","IN",NA,NA,"","UUFFbwnve3yF62-tVXkTyHqg",35865090828,7.1e+07,5338,"/m/04rlf /m/028sqc","https://en.wikipedia.org/wiki/Music https://en.wikipedia.org/wiki/Music_of_Asia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCppHT7SZKKvar4Oc9J4oljQ","Zee TV","Launched in 1992, Zee TV is the pioneer of television entertainment industry in India. Our innovative programming has set new benchmarks, and helped us connect with over 3 billion viewers across world. Official account of India’s pioneering Hindi General Entertainment Channel of India. We celebrate the hopes and ambitions of the great Indian middle class community like no other.
","IN","en",NA,"","UUppHT7SZKKvar4Oc9J4oljQ",9323924249,57500000,53927,"/m/0f2f9 /m/02jjt /m/02vxn","https://en.wikipedia.org/wiki/Television_program https://en.wikipedia.org/wiki/Entertainment https://en.wikipedia.org/wiki/Film",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCP6uH_XlsxrXwZQ4DlqbqPg","Shemaroo Filmi Gaane","Welcome to Shemaroo Filmi Gaane, a treat for every music lover and Bollywood connoisseur! Chart buster songs from super-hit movies like Anand, Don, Bobby, Prem Rog and more. 

Celebrating the Golden Jubilee, Shemaroo Entertainment Ltd is among few entertainment companies that has hallmarked several pioneering efforts with its innovative and out- of-the- box thinking. Founded in 1962, Shemaroo Entertainment Ltd is an established media content house in the country, active in Content Acquisition, Value Addition to Content and Content Distribution with a large content library of over 2900 titles.Shemaroo is engaged in the distribution of content for satellite channels, physical formats and emerging digital technologies like the Mobile, Internet, Broadband, IPTV and DTH among others. With its partnership with the major telecom operators and other digital media platforms, Shemaroo is at the forefront of the digital age. 

SUBSCRIBE now for Old & New Bollywood Songs !!","IN",NA,NA,"FLP6uH_XlsxrXwZQ4DlqbqPg","UUP6uH_XlsxrXwZQ4DlqbqPg",23962881946,50300000,6967,"/m/04rlf /m/028sqc","https://en.wikipedia.org/wiki/Music https://en.wikipedia.org/wiki/Music_of_Asia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> <U+ACF5><U+C2DD> <U+C720><U+D29C><U+BE0C> <U+CC44><U+B110> <U+C785><U+B2C8><U+B2E4>.
This is the Official YouTube channel for BTS.",NA,NA,NA,"","UULkAepWjdylmXSltofFvsYQ",9342386762,47100000,1461,"/m/028sqc /m/04rlf /m/064t9 /m/0glt670","https://en.wikipedia.org/wiki/Music_of_Asia https://en.wikipedia.org/wiki/Music https://en.wikipedia.org/wiki/Pop_music https://en.wikipedia.org/wiki/Hip_hop_music",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
